id,titulo,pais,status,tipo,habilidades_requeridas,idiomas_requeridos,pna,risco_nivel,contato_url,agencia_id,vagas_total,objetivos,descricao_curta,urgente
V001,Discipulado em Jordania,jordania,em_selecao,curto,discipulado,ingles,nao,baixo,https://contato.exemplo/v001,A001,7,subsistencia,Discipulado em Jordania; foco em subsistencia,nao
V002,Ti Suporte em Iraque,iraque,expirada,longo,ti_suporte,"frances,ingles",nao,medio,https://contato.exemplo/v002,A004,9,educacao,Ti Suporte em Iraque; foco em educacao,sim
V003,Ensino Biblico em Paquistao,paquistao,em_selecao,medio,"ensino_biblico,primeiros_socorros,saude_basica","arabe_basico,ingles",sim,medio,https://contato.exemplo/v003,A010,16,bam,Ensino Biblico em Paquistao; foco em bam,sim
V004,Administracao em Egito,egito,rascunho,curto,administracao,"frances,portugues",nao,baixo,https://contato.exemplo/v004,A004,16,microcredito,Administracao em Egito; foco em microcredito,nao
V005,Ti Suporte em Iraque,iraque,expirada,curto,ti_suporte,"frances,portugues",nao,baixo,https://contato.exemplo/v005,A009,15,subsistencia,Ti Suporte em Iraque; foco em subsistencia,nao
V006,Saude Basica em Quenia,quenia,em_selecao,local,saude_basica,frances,nao,alto,https://contato.exemplo/v006,A006,9,"bam,profissionais",Saude Basica em Quenia; foco em bam,nao
V007,Administracao em Brasil,brasil,expirada,longo,"administracao,evangelismo,saude_basica",frances,sim,baixo,https://contato.exemplo/v007,A010,8,profissionais,Administracao em Brasil; foco em profissionais,nao
V008,Primeiros Socorros em Paquistao,paquistao,preenchida,longo,"primeiros_socorros,ti_suporte,traducao_interpretacao",ingles,nao,alto,https://contato.exemplo/v008,A010,13,"bam,profissionais",Primeiros Socorros em Paquistao; foco em bam,nao
V009,Administracao em Paquistao,paquistao,em_selecao,curto,"administracao,evangelismo,primeiros_socorros",arabe_basico,nao,baixo,https://contato.exemplo/v009,A007,5,"cultura,medicina",Administracao em Paquistao; foco em cultura,sim
V010,Evangelismo em Quenia,quenia,publicada,local,evangelismo,frances,nao,alto,https://contato.exemplo/v010,A010,9,cultura,Evangelismo em Quenia; foco em cultura,nao
V011,Traducao Interpretacao em Egito,egito,expirada,longo,traducao_interpretacao,portugues,nao,alto,https://contato.exemplo/v011,A009,16,"cultura,medicina",Traducao Interpretacao em Egito; foco em cultura,nao
V012,Ensino Biblico em Libano,libano,rascunho,curto,"ensino_biblico,logistica,ti_suporte",arabe_basico,sim,baixo,https://contato.exemplo/v012,A010,15,subsistencia,Ensino Biblico em Libano; foco em subsistencia,nao
V013,Administracao em Paquistao,paquistao,expirada,curto,"administracao,logistica,ti_suporte","frances,ingles",sim,alto,https://contato.exemplo/v013,A006,16,"evangelismo,subsistencia",Administracao em Paquistao; foco em evangelismo,nao
V014,Evangelismo em Jordania,jordania,rascunho,longo,"evangelismo,saude_basica,ti_suporte",arabe_basico,nao,baixo,https://contato.exemplo/v014,A006,10,"bam,cultura",Evangelismo em Jordania; foco em bam,nao
V015,Traducao Interpretacao em Siria,siria,expirada,local,traducao_interpretacao,ingles,nao,baixo,https://contato.exemplo/v015,A002,18,"bam,cultura",Traducao Interpretacao em Siria; foco em bam,nao
V016,Primeiros Socorros em Iraque,iraque,preenchida,local,"primeiros_socorros,ti_suporte","frances,portugues",nao,alto,https://contato.exemplo/v016,A009,20,subsistencia,Primeiros Socorros em Iraque; foco em subsistencia,nao
V017,Ti Suporte em Jordania,jordania,em_selecao,local,ti_suporte,ingles,nao,baixo,https://contato.exemplo/v017,A010,10,bam,Ti Suporte em Jordania; foco em bam,nao
V018,Ensino Biblico em Egito,egito,rascunho,curto,"ensino_biblico,evangelismo,logistica","ingles,portugues",nao,medio,https://contato.exemplo/v018,A002,13,"educacao,profissionais",Ensino Biblico em Egito; foco em educacao,nao
V019,Evangelismo em Paquistao,paquistao,rascunho,local,"evangelismo,traducao_interpretacao",portugues,sim,medio,https://contato.exemplo/v019,A001,12,"bam,microcredito",Evangelismo em Paquistao; foco em bam,nao
V020,Primeiros Socorros em Brasil,brasil,expirada,local,"primeiros_socorros,saude_basica,traducao_interpretacao",arabe_basico,sim,baixo,https://contato.exemplo/v020,A009,9,"cultura,microcredito",Primeiros Socorros em Brasil; foco em cultura,nao
